Id,Nombre,Ciudad
C100,SOFAN INGENIERIA S.A.S.,Bogota
C101,PROYECTOS DE INGENIERIA S.A. – PROING S.A.,Cali
C102,PALACIO OFICINA DE CONSTRUCCIONES S.A.,Barranquilla
C103,CARCON INGENIERIA S.A.S.,Medellin
C104,A & D ALVARADO & DURING S.A.S,Bogota
C105,A.E INGENIEROS CIVILES S.A.S,Barranquilla
C106,ABENGOA COLOMBIA S.A.S.,Bogota
C107,ACCIONA INFRAESTRUCTURAS S.A. SUCURSAL COLOMBIA,Bogota
C108,AGAMA S.A.S.,Bogota
C109,AGUASCOL S.A E.S.P,Medellin
C110,ALCA INGENIERIA S.A.S,Bogota
C111,AMEZQUITA NARANJO INGENIERIA & CIA SCA,Cali
C112,ANDINA DE CONSTRUCCIONES Y ASOCIADOS S.A.,Sabaneta
C113,APIROS S.A.S.,Bogota
C114,ARQUITECTOS E INGENIEROS ASOCIADOS S.A - A.I.A S.A.,Medellin
C115,ARQUITECTURA Y CONCRETO S.A.S.,Medellin
C116,ASESORIAS DISEÑOS Y CONSTRUCCIONES S.A. ADYCOR S.A,Medellin
C117,ASFALTADORA COLOMBIA S.A.S.,Medellin
C118,ATILA INGENIERIA EU,Cali
C119,BASE Y ANCLAJE S.A.S - BASA- S.A.S,Medellin
C120,BUITRAGO MONTOYA Y CIA S EN C,Barranquilla
C121,C&G INGENIERIA Y CONSTRUCCIONES S.A.S,Bogota
C122,C3 CONSTRUCCIONES Y CONTRATOS S.A.S.,Cali
C123,CADSA S.A.S,Bogota
C124,CAPITALYS INFRAESTRUCTURA S.A.,Cali
C126,CASTRO TCHERASSI S.A.,Barranquilla
C127,CI GRODCO S EN C A INGENIEROS CIVILES,Bogota
C128,CIVILIA S.A.,Bogota
C129,CNV CONSTRUCCIONES S.A.S,Medellin
C130,COMPAÑIA DE MEZCLAS ASFALTICAS G4 S.A.S,Bogota
C131,CONALVIAS CONSTRUCCIONES S.A.S.,Cali
C132,CONASCON INGENIERIA LTDA,Barranquilla
C133,CONCALI COLOMBIA S.A.S.,Cali
C134,CONCIVILES S.A.,Cali
C135,CONCRETOS Y ASFALTOS S.A CONASFALTOS S.A.,Medellin
C136,CONINSA & RAMON H. S.A.,Medellin
C137,CONINSA RAMON H.  S.A.,Bogota
C138,CONSTRUCCIONES AR&S LTDA.,Bogota
C139,CONSTRUCCIONES CF SAS,Bogota
C140,CONSTRUCCIONES EL CONDOR S.A.,Medellin
C141,CONSTRUCCIONES NAMUS S.A.,Barranquilla
C142,CONSTRUCCIONES TECNICAS DE INGENIERIA - CONTEIN LTDA,Bogota
C143,CONSTRUCCIONES TECNICAS SANTA MARIA S.A.,Cali
C144,CONSTRUCCIONES TECNIFICADAS S.A. - CONSTRUCTEC S.A.,Bogota
C145,CONSTRUCCIONES Y EXPLANACIONES S.A.S CONEXPLAN S.A.S,Medellin
C146,CONSTRUCCIONES Y TRACTORES S.A CONYTRAC S.A.,Sabaneta
C147,CONSTRUCCIONES Y VIAS INGENIEROS CONTRATISTAS S.A.S - CONVIAL S.A.S,Envigado
C148,CONSTRUCOES E COMERCIO CAMARGO CORREA S.A. SUCURSAL COLOMBIA,Medellin
C149,CONSTRUCTORA CARPOL LTDA,Popayan
C150,CONSTRUCTORA COLPATRIA S.A.,Bogota
C151,CONSTRUCTORA CONCONCRETO S.A.,Itagui
C152,CONSTRUCTORA DE OBRAS DE VIVIENDA E INGENIERIA – COVEIN,Barranquilla
C153,CONSTRUCTORA EMG INGENIEROS LTDA.,Bogota
C154,CONSTRUCTORA FG S.A,Barranquilla
C155,CONSTRUCTORA MECO S.A. SUCURSAL COLOMBIA,Bogota
C156,CONSTRUCTORA MORICHAL LTDA,Medellin
C157,CONSTRUCTORA NORBERTO ODEBRECHT S.A.,Bogota
C158,CONSTRUCTORA PRECOMPRIMIDOS S.A.,Itagui
C159,CONSTRUCTORA RUMIE LTDA.,Barranquilla
C160,CONSTRUCTORA YACAMAN VIVERO S.A.,Barranquilla
C161,CONSTRUIR INGENIERIA S.A.S.,Cali
C162,CONSTRUSEÑALES S.A.,Barranquilla
C163,CONVEL S.A.S,Medellin
C164,CONZA S.A.,Barranquilla
C165,COPCISA S.A. SUCURSAL COLOMBIA,Bogota
C166,COPISA COLOMBIA,Bogota
C167,CORTES Y EXPLANACIONES S.A.,Medellin
C168,CPA CONSTRUCCIONES PREFABRICADAS S.A.,Palmira
C169,D & S  S.A,Barranquilla
C170,DESARROLLAMOS INGENIERIA LTDA.,Cali
C171,DIATECO LTDA.,Bogota
C172,DIRCO INGENIERIA LTDA,Cali
C173,DISUCON LTDA,Cali
C174,DRAGADOS IBE SUCURSAL COLOMBIA,Bogota
C175,EBINGEL S.A.S,Medellin
C176,ECOVIAS S.A.,Medellin
C177,EDUARDO GIRONZA INGENIERIA CIVIL,Cali
C178,EESE INGENIERIA,Barranquilla
C179,ELECTRICAS DE MEDELLIN INGENIERIA & SERVICIOS S.A,Medellin
C180,ELSAMEX INTERNACIONAL SUCURSAL COLOMBIA,Bogota
C181,EMPRESA DE SERVICIOS DE INGENIERIA S.A.S. E.S.I  S.A.S,Medellin
C182,ENGICO LTDA,Envigado
C183,EQUIPO UNIVERSAL S.A.,Bogota
C184,EQUIPOS CONSTRUCCIONES Y OBRAS S.A- ECOBRAS S.A.,Villavicencio
C185,EQUIPOS E INGENIERIA S.A.,Bogota
C186,EQUIPOS Y CIMENTACIONES S.A.,Bogota
C187,EQUIPOS Y TRITURADOS S.A.,Bogota
C188,EQUIPOS Y VIAS S.A.S,Medellin
C189,ESTRUCTURACION Y DESARROLLO DE PROYECTOS INMOBILIARIOS S.A E&D,Medellin
C190,EXPLANAN S.A.,Medellin
C191,FERNANDO CASTRO SPADAFFORA,Cali
C192,FERROVIAL AGROMAN S.A. SUCURSAL COLOMBIA,Bogota
C193,GAICO INGENIEROS CONSTRUCTORES S.A.,Bogota
C194,GALANTE S.A.,Bogota
C195,GEOCONSTRUCCIONES S.A.,Bogota
C196,GESTION DE PROYECTOS S.A. - GESPRO S.A.,Bogota
C197,GISAICO S.A,Envigado
C198,GRAVAS Y MAQUINARIA LTDA,Medellin
C199,GRUPO ODINSA S.A.- ORGANIZACION DE INGENIERIA INTERNACIONAL S.A.,Bogota
C200,HAG S.A,Guarne
C201,HCT INGENIEROS ASOCIADOS  LTDA.,Bogota
C202,HIDROESTRUCTURAS LTDA,Cali
C203,HM INGENIERIA LTDA,Barranquilla
C204,ICI INVERSIONES & CONSTRUCCIONES INDUSTRIALIZADAS S.A.S.,Bogota
C205,IMGEOCOSTA,Barranquilla
C206,INCA S.A.S,Barranquilla
C207,INCIVILCO S.A.S,Medellin
C208,INDEMAC S.A.S,Medellin
C209,INFERCAL S.A.,Bogota
C210,INGECON S.A.,Bogota
C211,INGELAS LTDA. - INGENIEROS ELECTRICISTAS Y CIVILES ASOCIADOS,Bogota
C212,INGENIERIA HERNANDEZ BERNAL S.A.S.,Bogota
C213,INGENIERIA INMOBILIARIA S.A,Medellin
C214,INGENIERIA TOTAL S.A.S,Medellin
C215,INGENIERIA Y CONTRATOS S.A.S.,Medellin
C216,INGENIERIA Y MONTAJE ELECTROMECANICOS S.A. INMEL S.A.,Medellin
C217,INGENIERIA Y SUMINISTROS BROCA LTDA.,Barrancabermeja
C218,INGENIERIA Y VIAS S.A.S  INGEVIAS,Envigado
C219,INGENIERIAS ALIADAS S.A.S,Medellin
C220,INGENIERIAS Y SERVICIOS. INCER S.A,Bogota
C221,INGENIEROS CONSTRUCTORES E INTERVENTORES - ICEIN S.A.S,Bogota
C222,INGEOMEGA S.A,Medellin
C223,INGOMON S.A.S,Medellin
C224,JCR INGENIERIA ELECTRICA S.A.S.,Sabaneta
C225,JGI S.A.S,Medellin
C226,JMV INGENIEROS S.A.S.,Bogota
C227,LATCO S.A.,Cali
C228,LUGON INGENIERIA S.A,Medellin
C229,LV ESTRUCTURAS DE CONCRETO S.A.,Cali
C230,MAGMA S.A.,Medellin
C231,MANTENIMIENTO Y SEGURIDAD VIAL S.A.S.,Bogota
C232,MAQUINARIA Y CONSTRUCCIONES - MAYCO  S.A.S,Medellin
C233,MARIA JULIANA LOZANO SEPULVEDA,Cali
C234,MARTINEZ Y HOYOS INGENIERIA LTDA.,Bogota
C235,MASERING S.A.S,Barranquilla
C236,MATIZ ARQUITECTURA S.A,Medellin
C237,MEGAPROYECTOS S.A.,Sabaneta
C238,MEYAN S.A.,Bogota
C239,MHC - MARIO HUERTAS COTES,Bogota
C240,MILU PROYECTOS ESPECIALIZADOS,Medellin
C241,MINCIVIL S.A.,Chia
C242,MOTA-ENGIL COLOMBIA S.A.S.,Bogota
C243,MURCIA MURCIA S.A.,Bogota
C244,MUVEK S.A.S.,Bogota
C245,NESTOR RAMIREZ CUARTAS,Cali
C246,OBRAS CIVILES COLOMBIANAS S.A.S,Bogota
C247,OBRAS CIVILES E INMOBILIARIAS S.A. OCEISA,Bogota
C248,OBRAS CIVILES S.A,Medellin
C249,OBRAS Y DISEÑOS S.A.,Bogota
C250,OGENSA LATINA S.A.S,Bogota
C251,ORTIZ CONSTRUCCIONES Y PROYECTOS S.A SUCURSAL COLOMBIA,Bogota
C252,PAECIA S.A.S.,Medellin
C254,PATIÑO Y CIA S.A,Envigado
C255,PAVCOL S.A.S.,Bogota
C256,PAVIMENTAR S.A.,Medellin
C257,PAVIMENTO UNIVERSAL S.A,Barranquilla
C258,PBR TECHNOLOGY SUCURSAL COLOMBIA,Bogota
C259,PEDRO GOMEZ INFRAESTRUCTURA S.A.S.,Bogota
C260,POLO ASOCIADOS SOLUCIONES DE INGENIERIA S.A.S.- POLO ASOCIADOS S.A.S.,Bogota
C261,PORTICOS S.A INGENIEROS CIVILES,Medellin
C262,PROCOPAL S.A.,Medellin
C263,PRODECON,Cali
C264,PROINCOL INGENIERIA,Bogota
C265,PROYECTAR INGENIERIA S.A.,Cali
C266,PROYECTOS Y VIAS S.A.S PROVIAS,Medellin
C267,RAHS INGENIERIA S.A. Y CIPRECON S.A.,Bogota
C268,RAMIREZ Y CIA S.A,Medellin
C269,REGENCY S.A.,Cali
C270,RESTITUBO S.A.S.,Bogota
C271,REX INGENIERIA S.A.,Bogota
C272,ROVER ALCISA COLOMBIA,Bogota
C273,SAINC INGENIEROS CONSTRUCTORES S.A.,Cali
C274,SERAVEZZA LTDA.,Bogota
C275,SERVICIOS DE INGENIERIA EQUIPOS Y TIERRAS S.A.S SIETE S.A.S,Sabaneta
C276,SIERRA PEREZ & CIA S. EN C.,Barranquilla
C277,SNC LAVALIN INTERNATIONAL SUCURSAL COLOMBIA,Bogota
C278,SOLETANCHE BACHY CIMAS S.A.,Bogota
C279,SOLIDOS INGENIEROS CIVILES S.A.,Medellin
C280,SORELLANZA CONSTRUCTORES S.A.S.,Cali
C281,STECKERL  ACEROS S.A.S,Barranquilla
C282,SUBSUELOS S.A.,Bogota
C283,SUMMACON S.A.S.,Bogota
C284,TECHINT  INTERNATIONAL CONSTRUCTION CORP. TENCO,Bogota
C285,TECNIDESARROLLO  S.A.S.,Bogota
C286,TERMOTECNICA COINDUSTRIAL S.A.,Bogota
C287,TIPIEL S.A.,Bogota
C288,TRADECO INDUSTRIAL SUCURSAL COLOMBIA,Bogota
C289,TRIMECA TRINELCA S.A.S,Barranquilla
C290,UNION ELECTRICA S.A.,Medellin
C291,VALORCON S.A.,Barranquilla
C292,VARELA FIHOLL & CIA. LTDA.,Bogota
C293,VERTICE INGENIEROS S.A.S.,Medellin
C294,VIAS S.A.,Medellin
C295,VIÑAS RUSSI & CIA S.A.S,Barranquilla
C296,YAMIL SABBAGH CONSTRUCCIONES S.A.S.,Bogota